ID,Article Title,Link
130,"Rodgers, vets excused from Pack minicamp",http://www.espn.com/nfl/story/_/id/23770636/aaron-rodgers-16-veteran-excused-green-bay-packers-minicamp
131,The five biggest questions facing NFL teams at minicamps,http://www.espn.com/nfl/story/_/id/23735734/2018-nfl-offseason-five-biggest-questions-facing-nfl-teams-minicamps
132,"WR Jones won't attend minicamp, Falcons say",http://www.espn.com/nfl/story/_/id/23764441/julio-jones-attend-atlanta-falcons-minicamp
133,"Sources: Cowboys' Gregory, NFL likely to meet",http://www.espn.com/nfl/story/_/id/23765814/randy-gregory-dallas-cowboys-expected-meet-nfl-officials-new-york
134,Source: Raiders add ex-Cardinal Rucker to D-line,http://www.espn.com/nfl/story/_/id/23765572/oakland-raiders-signing-dl-frostee-rucker-1-year-deal
135,Thomas to skip Seattle's mandatory minicamp,http://www.espn.com/nfl/story/_/id/23752867/earl-thomas-skip-seattle-seahawks-mandatory-minicamp-contract-situation
136,Source: DE Davenport to have thumb surgery,http://www.espn.com/nfl/story/_/id/23761932/new-orleans-saints-top-pick-marcus-davenport-undergo-hand-surgery
137,RB Johnson facing misdemeanor battery charge,http://www.espn.com/nfl/story/_/id/23761140/free-agent-rb-chris-johnson-facing-misdemeanor-battery-charge-stemming-april-9-incident-florida
138,Drug charges against safety T.J. Ward dropped,http://www.espn.com/nfl/story/_/id/23753895/drug-charges-safety-tj-ward-dropped
139,Reports: Winslow Jr. charged with burglary,http://www.espn.com/nfl/story/_/id/23731265/former-nfl-tight-end-kellen-winslow-ii-charged-burglary
140,Johnny Manziel's road to CFL stardom: Why it won't be easy,http://www.espn.com/cfl/story/_/id/23660604/johnny-manziel-road-cfl-stardom-path-back-nfl-easy
141,Texans' Hal diagnosed with Hodgkin lymphoma,http://www.espn.com/nfl/story/_/id/23735684/houston-texans-safety-andre-hal-diagnosed-hodgkin-lymphoma
142,NFL Census: Finding the league's biggest outliers,http://www.espn.com/nfl/story/_/id/23651843/nfl-census-finding-league-biggest-outliers-salary-size-experience-more
143,Ex-Lions RB Harrison says Twitter account fake,http://www.espn.com/nfl/story/_/id/23727705/ex-detroit-lions-rb-jerome-harrison-says-twitter-account-fake
144,Seahawks DE Jordan rehabbing from knee surgery,http://www.espn.com/nfl/story/_/id/23728577/dion-jordan-seattle-seahawks-defensive-end-had-knee-surgery-pete-carroll-says
145,Sources: Pats' Edelman facing 4-game PED ban,http://www.espn.com/nfl/story/_/id/23725064/new-england-patriots-wr-julian-edelman-facing-four-game-suspension
146,Browns RB Johnson agrees to 3-year extension,http://www.espn.com/nfl/story/_/id/23727572/duke-johnson-cleveland-browns-running-back-agrees-three-year-contract-extension
147,NFL exec Grubman leaving after 14 years,http://www.espn.com/nfl/story/_/id/23727066/nfl-executive-vice-president-business-operations-eric-grubman-leaving-league-14-years
148,"Brady: OTA absence personal, not about coach",http://www.espn.com/nfl/story/_/id/23726362/tom-brady-says-absence-patriots-otas-not-bill-belichick
149,T.O. declines invite to HOF induction ceremony,http://www.espn.com/nfl/story/_/id/23723959/terrell-owens-declines-invitation-pro-football-hall-fame-induction-ceremony
150,"Report: Kap likely to subpoena Trump, Pence",http://www.espn.com/nfl/story/_/id/23722695/colin-kaepernick-expected-subpoena-donald-trump-mike-pence-collusion-case-vs-nfl
151,"Jenkins 'tired' of anthem narrative, hence signs",http://www.espn.com/nfl/story/_/id/23719262/malcolm-jenkins-philadelphia-eagles-talks-motivation-signs-tired-narrative-being-anthem
152,Source: Broncos' Ray to have 4th wrist surgery,http://www.espn.com/nfl/story/_/id/23718025/shane-ray-denver-broncos-miss-start-season-due-4th-wrist-surgery
153,"Ravens lose 2 OTAs, fined for rules violation",http://www.espn.com/nfl/story/_/id/23716635/baltimore-ravens-lose-two-otas-fined-rules-violation
154,Eagles' Jenkins lets his signs do the talking,http://www.espn.com/nfl/story/_/id/23716051/philadelphia-eagles-safety-malcolm-jenkins-delivers-messages-white-house-snub-signs
155,"Incognito back home, hopes to return to NFL",http://www.espn.com/nfl/story/_/id/23715587/richie-incognito-back-home-hopes-return-nfl
156,Sources: CB Beal wants in supplemental draft,http://www.espn.com/nfl/story/_/id/23713470/western-michigan-cb-sam-beal-trying-get-supplemental-draft
157,Bush alleges dangerous conditions led to injury,http://www.espn.com/nfl/story/_/id/23715750/st-louis-on-hook-reggie-bush-2015-injury
158,Source: Jets' Miles (knee) out at least 3 months,http://www.espn.com/nfl/story/_/id/23713915/new-york-jets-safety-rontez-miles-miss-least-three-months-knee-injury
159,Steelers' Shazier: 'My dream' is to play again,http://www.espn.com/nfl/story/_/id/23715464/ryan-shazier-pittsburgh-steelers-my-dream-play-again
160,Sources: NFL mulls suspension for 49ers' Foster,http://www.espn.com/nfl/story/_/id/23714958/nfl-mulling-suspension-san-francisco-49ers-lb-reuben-foster
161,Head games: Browns must earn helmet stripes,http://www.espn.com/nfl/story/_/id/23714328/cleveland-browns-earn-helmet-stripe-coach-hue-jackson-says
162,Eagles' Pederson leaving White House behind ,http://www.espn.com/nfl/story/_/id/23714120/philadelphia-eagles-coach-doug-pederson-tries-move-failed-white-house-visit
